id,study,script,spec,original_data,original_verdict,class,group,note
B26,RP-13 FVG multi-timeframe,scripts/orderflow/rp13_fvg.py,rp13_fvg_preregistration adb6226,QQQ 1-min,null,bar,G3,
B27,Level fade on 1421 sessions (heavy/light; PDH/PDL break),scripts/orderflow/levels_long.py,findings_summary re-opening,QQQ 1-min,fade loses; break tilt < cost,bar,G3,
B28,Structure trade by timeframe,scripts/orderflow/structure_trade.py,findings_summary go with the break,QQQ 1-min 1420 sessions,negative every timeframe,bar,G3,
B29,Gap structure trade,scripts/orderflow/gapstructure.py,findings_summary structure trade,QQQ 5-min 2680 sessions,closed,bar,G3,
B30,Gap-fill base rate / gap trade,scripts/orderflow/gapfill.py,findings_summary gap trade,daily + 5 sessions,base rate only,bar,G3,
B31,Reopen study (VWAP displacement on bars),scripts/orderflow/reopen_study.py,findings_summary,QQQ 1-min,closed,bar,G3,
B32,IB study,scripts/orderflow/ib_study.py,findings_summary,QQQ 1-min,closed,bar,G3,
A01,ICT prior-day sweep + reclaim,scripts/archive/backtest_ict_sweep.py,unregistered (script = spec),QQQ 5-min,-0.19R,bar,G4,
A02,NWOG weekend gap fade,scripts/archive/backtest_nwog.py,unregistered,daily 27y,-0.34R,bar,G4,
A03,15-min ORB + FVG,scripts/archive/backtest_orb15.py,unregistered,QQQ 5-min,PF 1.01,bar,G4,
A04,Initial balance breakout,scripts/archive/backtest_initial_balance.py,unregistered,QQQ 5-min,no configuration pays,bar,G4,
A05,VWAP retest,scripts/archive/backtest_vwap_retest.py,unregistered,QQQ 5-min,+0.049R noise,bar,G4,
A06,Fixed-level fade honest entry (VA fade corrected),scripts/archive/backtest_aplus4.py + aplus5.py,unregistered,QQQ 5-min 523 sessions,flat to negative,bar,G4,lookahead version not rerun
A07,Open drive,scripts/archive/backtest_open_drive.py,findings_summary pre-committed checks,QQQ 5-min 509 sessions,fitted artifact,bar,G4,
A08,Inventory retracement bar,scripts/archive/backtest_irb.py,irb_findings,QQQ,rejected,bar,G4,
A09,Trendline reversal,scripts/orderflow/trendline_recon.py,trendline_reversal_closed,QQQ,closed; rejected as evidence,bar,G4,
A10,Daily FVG,scripts/archive/backtest_daily_fvg.py,unregistered,daily,rejected,bar,G4,
A11,Daily range breakout,scripts/archive/backtest_range_breakout.py,archived 2fed2b4,daily,rejected,bar,G4,also the (e) multi-day box
A12,Oversold bounce (daily),scripts/archive/backtest_oversold_long.py,unregistered,daily 27y,the one real daily effect; not a day trade,bar,G4,
A13,Sweep/run intraday + POC sweep,scripts/archive/sweep_run_intraday_test.py + poc_sweep_test.py,sweep_run_intraday,QQQ intraday,null,bar,G4,
X01,Order-book imbalance / depth beyond touch,scripts/orderflow/imbalance.py + depth_audit.py,,ATAS depth,dead,depth,X,no MBP/MBO bought
X02,Pull vs fill / cancellation,scripts/orderflow/pull_vs_fill.py,,ATAS depth,dead,depth,X,no depth data
X03,Order-flow batch D and F (book imbalance; pull/fill),scripts/orderflow/batch_book.py + batch_ladder.py,d85b15c,ATAS depth,IC only; does not pay,depth,X,no depth data
X04,Dealer gamma regime / gamma levels / GEX backtests,scripts/orderflow/regime_forecast_gamma.py + archive gamma scripts,dd6e7ea,options data,0 of 4,external,X,needs options data
X05,FOMC event-vol straddle,scripts/orderflow/fomc_straddle.py,a971882,options,rejected by cost gate,external,X,needs options
X06,RP-004 SPY -> EFA lead-lag,scripts/orderflow/rp004_stage1.py,,SPY+EFA,closed,external,X,needs EFA
X07,RP-006B cross-sectional intraday momentum,scripts/orderflow/rp006b_stage1.py,d26c066,ETF cross-section,closed,external,X,needs ETF cross-section
X08,Breadth veto / VIX divergence / skew / earnings range / cross-market veto,scripts/archive/*,,external series,rejected,external,X,needs non-NQ series
M01,Concentration audit; related instruments; bar-resolution gate; integrity and comparability audits,various,,,,meta,M,audits of other studies; not hypotheses
